id,city_name,signup_os,signup_channel,signup_date,bgc_date,vehicle_added_date,first_completed_date,vehicle_make,vehicle_model,vehicle_year
6506,Vila Rica,ios web,Organic,1/13/23,1/13/23,,,,,
6507,Porto Seguro,windows,Paid,1/20/23,,,,,,
6508,Vale do Sol,ios web,Organic,1/27/23,2/3/23,2/6/23,,Honda,Accord,2013.0
6509,Vale do Sol,ios web,Paid,1/12/23,1/12/23,1/15/23,,Toyota,Prius V,2015.0
6510,Vila Rica,android web,Paid,1/17/23,,,,,,
6511,Vale do Sol,ios web,Referral,1/2/23,,,,,,
6512,Porto Seguro,android web,Paid,1/23/23,1/24/23,,,,,
6513,Porto Seguro,ios web,Referral,1/21/23,1/24/23,1/30/23,2/7/23,Chrysler,300,2012.0
6514,Vale do Sol,android web,Organic,1/20/23,1/22/23,1/28/23,3/3/23,Toyota,Corolla,2004.0
6515,Vale do Sol,windows,Referral,1/22/23,1/22/23,,,,,
6516,Vila Rica,ios web,Organic,1/22/23,,,,,,
6517,Vale do Sol,android web,Paid,1/22/23,1/25/23,,,,,
6518,Vale do Sol,other,Referral,1/13/23,,,,,,
6519,Vila Rica,android web,Organic,1/5/23,,,,,,
6520,Vale do Sol,ios web,Paid,1/1/23,,,,,,
6521,Porto Seguro,android web,Paid,1/17/23,,,,,,
6522,Porto Seguro,android web,Referral,1/24/23,1/24/23,,,,,
6523,Vale do Sol,ios web,Referral,1/7/23,1/7/23,1/8/23,1/8/23,Toyota,Camry,2007.0
6524,Vale do Sol,mac,Organic,1/2/23,1/2/23,,,,,
6525,Vila Rica,mac,Paid,1/26/23,1/26/23,1/30/23,,Volkswagen,Jetta,2012.0
6526,Porto Seguro,ios web,Organic,1/19/23,1/20/23,1/24/23,,Chevrolet,Cruze,2016.0
6527,Vila Rica,android web,Organic,1/7/23,1/12/23,,,,,
6528,Vila Rica,android web,Referral,1/18/23,1/21/23,1/23/23,,Dodge,Grand Caravan,2005.0
6529,Vila Rica,android web,Referral,1/1/23,1/2/23,1/3/23,1/3/23,Nissan,Sentra,2014.0
6530,Porto Seguro,android web,Paid,1/20/23,,,,,,
6531,Vila Rica,ios web,Paid,1/11/23,1/11/23,,,,,
6532,Porto Seguro,ios web,Paid,1/26/23,1/26/23,,,,,
6533,Porto Seguro,ios web,Paid,1/21/23,,,,,,
6534,Vale do Sol,ios web,Organic,1/13/23,1/14/23,,,,,
6535,Porto Seguro,ios web,Referral,1/21/23,1/22/23,1/24/23,2/1/23,Honda,Civic,2006.0
6536,Vale do Sol,ios web,Paid,1/27/23,1/28/23,1/30/23,,Chevrolet,Aveo,2009.0
6537,Vale do Sol,mac,Referral,1/28/23,,,,,,
6538,Vale do Sol,android web,Paid,1/2/23,1/2/23,,,,,
6539,Vila Rica,ios web,Referral,1/15/23,,,,,,
6540,Vila Rica,android web,Referral,1/11/23,1/15/23,,,,,
6541,Porto Seguro,android web,Referral,1/22/23,1/23/23,,,,,
6542,Vale do Sol,ios web,Referral,1/7/23,1/7/23,,,,,
6543,Vila Rica,android web,Organic,1/29/23,1/31/23,,,,,
6544,Vila Rica,windows,Paid,1/5/23,1/6/23,1/9/23,,Toyota,Prius,2014.0
6545,Vale do Sol,mac,Organic,1/22/23,1/24/23,1/24/23,,Toyota,Highlander,2009.0
6546,Vila Rica,windows,Referral,1/11/23,1/13/23,,,,,
6547,Vale do Sol,android web,Organic,1/17/23,1/17/23,,,,,
6548,Vila Rica,android web,Referral,1/28/23,1/29/23,,,,,
6549,Vale do Sol,android web,Organic,1/29/23,1/30/23,,,,,
6550,Vila Rica,android web,Referral,1/22/23,1/24/23,,,,,
6551,Vale do Sol,android web,Organic,1/10/23,1/10/23,1/10/23,1/14/23,Chevrolet,Impala,2009.0
6552,Vale do Sol,windows,Paid,1/3/23,1/6/23,,,,,
6553,Porto Seguro,windows,Organic,1/7/23,1/10/23,1/16/23,,Toyota,Camry,2007.0
6554,Vale do Sol,android web,Referral,1/29/23,2/4/23,,,,,
6555,Vila Rica,android web,Paid,1/1/23,,,,,,
6556,Vale do Sol,ios web,Paid,1/4/23,1/4/23,,,,,
6557,Porto Seguro,android web,Referral,1/12/23,1/13/23,,,,,
6558,Vila Rica,ios web,Referral,1/7/23,1/8/23,1/10/23,1/13/23,Scion,xB,2009.0
6559,Vale do Sol,ios web,Paid,1/29/23,1/29/23,2/1/23,2/15/23,Kia,Soul,2014.0
6560,Vale do Sol,ios web,Paid,1/26/23,1/26/23,1/27/23,,Ford,Focus,2008.0
6561,Vale do Sol,android web,Paid,1/9/23,,,,,,
6562,Porto Seguro,ios web,Referral,1/9/23,1/10/23,1/10/23,1/17/23,Toyota,Prius,2015.0
6563,Vale do Sol,android web,Referral,1/23/23,1/23/23,,,,,
6564,Vale do Sol,mac,Organic,1/16/23,1/18/23,1/22/23,,Toyota,Yaris,2009.0
6565,Vila Rica,ios web,Paid,1/24/23,1/25/23,2/6/23,,Toyota,Tacoma,2009.0
6566,Vale do Sol,ios web,Paid,1/24/23,1/25/23,,,,,
6567,Vale do Sol,android web,Paid,1/10/23,1/13/23,,,,,
6568,Porto Seguro,ios web,Paid,1/13/23,1/13/23,,,,,
6569,Vale do Sol,android web,Referral,1/13/23,1/13/23,1/17/23,1/21/23,Honda,Insight Hybrid,2014.0
6570,Porto Seguro,android web,Paid,1/17/23,1/19/23,1/22/23,2/12/23,Toyota,Corolla,2009.0
6571,Vale do Sol,other,Organic,1/6/23,1/6/23,,,,,
6572,Vale do Sol,android web,Organic,1/13/23,,,,,,
6573,Porto Seguro,android web,Paid,1/9/23,1/9/23,1/22/23,,Hyundai,Elantra,2013.0
6574,Vila Rica,ios web,Referral,1/15/23,,,,,,
6575,Vale do Sol,ios web,Paid,1/30/23,1/31/23,2/3/23,2/19/23,Honda,Accord,2012.0
6576,Porto Seguro,android web,Paid,1/23/23,1/25/23,1/27/23,,Nissan,Maxima,2003.0
6577,Vale do Sol,windows,Paid,1/31/23,1/31/23,1/31/23,,Kia,Optima,2015.0
6578,Vale do Sol,windows,Organic,1/18/23,1/19/23,1/19/23,,Honda,Civic,2013.0
6579,Porto Seguro,ios web,Referral,1/16/23,1/17/23,,,,,
6580,Vila Rica,other,Referral,1/20/23,1/22/23,1/23/23,1/27/23,Nissan,Frontier,2015.0
6581,Vale do Sol,ios web,Referral,1/21/23,,,,,,
6582,Vila Rica,ios web,Organic,1/24/23,1/30/23,2/1/23,,Toyota,Prius V,2014.0
6583,Vale do Sol,android web,Referral,1/4/23,,,,,,
6584,Vila Rica,ios web,Referral,1/28/23,,,,,,
6585,Porto Seguro,mac,Paid,1/1/23,1/2/23,1/7/23,,Honda,Civic,2016.0
6586,Vila Rica,ios web,Organic,1/26/23,1/26/23,,,,,
6587,Porto Seguro,android web,Referral,1/21/23,1/23/23,,,,,
6588,Vale do Sol,ios web,Paid,1/10/23,,,,,,
6589,Vila Rica,android web,Paid,1/10/23,,,,,,
6590,Vila Rica,windows,Paid,1/21/23,1/23/23,1/23/23,,Honda,Accord,2016.0
6591,Porto Seguro,other,Referral,1/17/23,,,,,,
6592,Vila Rica,windows,Paid,1/18/23,,,,,,
6593,Vale do Sol,mac,Referral,1/30/23,1/31/23,2/9/23,,Honda,Fit,2012.0
6594,Vila Rica,ios web,Referral,1/18/23,1/20/23,1/22/23,2/4/23,Cadillac,DeVille,2002.0
6595,Vila Rica,android web,Paid,1/6/23,1/7/23,1/8/23,1/9/23,Honda,Element,2004.0
6596,Vale do Sol,ios web,Referral,1/31/23,,,,,,
6597,Vila Rica,android web,Paid,1/27/23,1/28/23,2/1/23,2/10/23,Toyota,Camry,2015.0
6598,Vale do Sol,ios web,Organic,1/11/23,,,,,,
6599,Porto Seguro,android web,Organic,1/30/23,,,,,,
6600,Vale do Sol,ios web,Referral,1/13/23,1/13/23,,,,,
6601,Vale do Sol,ios web,Referral,1/19/23,,,,,,
6602,Vale do Sol,ios web,Referral,1/28/23,,,,,,
6603,Vila Rica,other,Organic,1/14/23,,,,,,
6604,Vale do Sol,mac,Referral,1/22/23,,,,,,
6605,Porto Seguro,ios web,Referral,1/20/23,1/23/23,,,,,
6606,Porto Seguro,android web,Organic,1/7/23,1/8/23,,,,,
6607,Vale do Sol,android web,Organic,1/26/23,1/30/23,2/3/23,,Honda,Accord,2010.0
6608,Vale do Sol,ios web,Paid,1/1/23,1/2/23,1/5/23,,Subaru,Forester,2014.0
6609,Vale do Sol,other,Organic,1/13/23,1/18/23,1/30/23,,Dodge,Charger,2015.0
6610,Vale do Sol,ios web,Paid,1/6/23,1/10/23,,,,,
6611,Vale do Sol,android web,Referral,1/19/23,1/19/23,2/6/23,2/6/23,Honda,Accord,2014.0
6612,Vale do Sol,android web,Referral,1/24/23,,,,,,
6613,Porto Seguro,android web,Paid,1/3/23,1/4/23,1/6/23,,Toyota,4Runner,2007.0
6614,Vale do Sol,mac,Paid,1/11/23,,,,,,
6615,Vale do Sol,ios web,Paid,1/20/23,,,,,,
6616,Vila Rica,windows,Paid,1/21/23,,,,,,
6617,Vila Rica,mac,Referral,1/20/23,1/20/23,1/26/23,1/28/23,Lexus,RX,2015.0
6618,Porto Seguro,ios web,Referral,1/15/23,1/15/23,,,,,
6619,Vale do Sol,ios web,Paid,1/18/23,,,,,,
6620,Vila Rica,ios web,Organic,1/13/23,,,,,,
6621,Vale do Sol,android web,Organic,1/7/23,,,,,,
6622,Vila Rica,android web,Paid,1/3/23,1/5/23,,,,,
6623,Vale do Sol,android web,Paid,1/9/23,1/10/23,1/22/23,3/18/23,Jeep,Compass,2010.0
6624,Vale do Sol,ios web,Referral,1/4/23,,,,,,
6625,Vale do Sol,ios web,Organic,1/8/23,,,,,,
6626,Vale do Sol,other,Organic,1/3/23,1/11/23,1/13/23,,Toyota,Prius,2008.0
6627,Vale do Sol,other,Paid,1/31/23,,,,,,
6628,Porto Seguro,windows,Paid,1/14/23,,,,,,
6629,Vale do Sol,ios web,Paid,1/23/23,,,,,,
6630,Vila Rica,ios web,Referral,1/18/23,,,,,,
6631,Vila Rica,mac,Paid,1/12/23,1/12/23,,,,,
6632,Vale do Sol,windows,Paid,1/7/23,,,,,,
6633,Porto Seguro,windows,Paid,1/12/23,1/13/23,,,,,
6634,Vila Rica,mac,Paid,1/8/23,,,,,,
6635,Porto Seguro,android web,Paid,1/10/23,,,,,,
6636,Vale do Sol,ios web,Paid,1/27/23,1/29/23,,,,,
6637,Vila Rica,android web,Referral,1/23/23,1/25/23,,,,,
6638,Vale do Sol,windows,Referral,1/18/23,1/21/23,,,,,
6639,Porto Seguro,android web,Paid,1/9/23,,,,,,
6640,Vila Rica,ios web,Referral,1/26/23,1/31/23,2/14/23,4/2/23,Toyota,Corolla,2005.0
6641,Porto Seguro,android web,Referral,1/13/23,1/13/23,,,,,
6642,Vale do Sol,android web,Referral,1/24/23,,,,,,
6643,Vale do Sol,mac,Organic,1/6/23,1/9/23,,,,,
6644,Vila Rica,ios web,Referral,1/21/23,1/26/23,1/26/23,1/30/23,Kia,Soul,2014.0
6645,Vila Rica,mac,Organic,1/2/23,1/7/23,1/8/23,1/9/23,Scion,xB,2006.0
6646,Vila Rica,mac,Paid,1/25/23,,,,,,
6647,Porto Seguro,windows,Referral,1/14/23,1/18/23,,,,,
6648,Vila Rica,android web,Organic,1/13/23,1/13/23,,,,,
6649,Vale do Sol,android web,Referral,1/31/23,,,,,,
6650,Vila Rica,android web,Referral,1/31/23,2/4/23,2/4/23,2/4/23,Honda,CR-V,2008.0
6651,Vale do Sol,android web,Referral,1/19/23,1/19/23,1/20/23,1/20/23,Hyundai,Elantra,2014.0
6652,Vale do Sol,android web,Referral,1/12/23,1/12/23,,,,,
6653,Vale do Sol,ios web,Paid,1/1/23,1/1/23,,,,,
6654,Vila Rica,ios web,Organic,1/13/23,1/13/23,,,,,
6655,Vila Rica,other,Organic,1/9/23,1/11/23,,,,,
6656,Vale do Sol,ios web,Paid,1/2/23,,,,,,
6657,Vale do Sol,ios web,Referral,1/27/23,1/30/23,,,,,
6658,Vale do Sol,android web,Paid,1/20/23,1/23/23,,,,,
6659,Porto Seguro,windows,Organic,1/4/23,,,,,,
6660,Vale do Sol,android web,Paid,1/19/23,,,,,,
6661,Vila Rica,android web,Paid,1/15/23,1/17/23,1/18/23,1/20/23,Honda,Element,2004.0
6662,Porto Seguro,windows,Referral,1/25/23,1/28/23,,,,,
6663,Vale do Sol,windows,Paid,1/6/23,1/6/23,1/8/23,1/8/23,Toyota,Sienna,2010.0
6664,Vila Rica,other,Paid,1/6/23,1/6/23,,,,,
6665,Vila Rica,android web,Referral,1/2/23,1/4/23,,,,,
6666,Vale do Sol,mac,Paid,1/5/23,,,,,,
6667,Vale do Sol,android web,Organic,1/18/23,,,,,,
6668,Vale do Sol,android web,Referral,1/9/23,1/9/23,,,,,
6669,Vale do Sol,windows,Organic,1/25/23,1/26/23,1/26/23,2/8/23,Toyota,Venza,2013.0
6670,Vila Rica,windows,Referral,1/19/23,1/19/23,,,,,
6671,Vale do Sol,android web,Referral,1/6/23,,,,,,
6672,Vale do Sol,ios web,Organic,1/2/23,,,,,,
6673,Vila Rica,mac,Organic,1/14/23,1/14/23,1/14/23,,Toyota,Sienna,2004.0
6674,Vale do Sol,android web,Paid,1/10/23,1/10/23,,,,,
6675,Vale do Sol,ios web,Organic,1/4/23,1/5/23,1/10/23,1/20/23,Nissan,Altima,2007.0
6676,Vale do Sol,ios web,Paid,1/1/23,,,,,,
6677,Porto Seguro,android web,Organic,1/8/23,,,,,,
6678,Vale do Sol,windows,Referral,1/19/23,1/24/23,,,,,
6679,Vila Rica,mac,Paid,1/30/23,2/1/23,2/3/23,,Honda,Civic,2014.0
6680,Vale do Sol,windows,Referral,1/6/23,,,,,,
6681,Vila Rica,ios web,Paid,1/11/23,1/12/23,1/26/23,1/26/23,Toyota,Highlander,2008.0
6682,Vila Rica,android web,Paid,1/17/23,,,,,,
6683,Vila Rica,ios web,Paid,1/25/23,1/25/23,,,,,
6684,Porto Seguro,android web,Organic,1/16/23,1/16/23,1/30/23,,Chevrolet,Suburban,2015.0
6685,Vale do Sol,ios web,Paid,1/1/23,1/6/23,1/9/23,,Nissan,Juke,2012.0
6686,Porto Seguro,ios web,Paid,1/16/23,1/17/23,,,,,
6687,Vale do Sol,ios web,Paid,1/17/23,,,,,,
6688,Vila Rica,android web,Referral,1/5/23,1/5/23,1/6/23,,Mazda,MAZDA3,2012.0
6689,Porto Seguro,android web,Paid,1/1/23,1/1/23,1/1/23,,Toyota,Corolla,2016.0
6690,Vale do Sol,other,Organic,1/10/23,,,,,,
6691,Porto Seguro,ios web,Paid,1/2/23,,,,,,
6692,Vila Rica,windows,Organic,1/26/23,,,,,,
6693,Vila Rica,android web,Paid,1/14/23,1/18/23,1/20/23,,Dodge,Journey,2011.0
6694,Vila Rica,mac,Paid,1/23/23,1/23/23,1/29/23,,Hyundai,Elantra,2012.0
6695,Vale do Sol,ios web,Referral,1/31/23,1/31/23,2/1/23,2/8/23,Nissan,Sentra,2015.0
6696,Porto Seguro,android web,Organic,1/3/23,1/3/23,1/4/23,1/12/23,Nissan,Rogue,2012.0
6697,Vale do Sol,windows,Paid,1/6/23,,,,,,
6698,Vale do Sol,ios web,Paid,1/2/23,,,,,,
6699,Vale do Sol,ios web,Organic,1/27/23,1/28/23,,,,,
6700,Porto Seguro,other,Organic,1/11/23,,,,,,
6701,Vila Rica,android web,Referral,1/23/23,2/1/23,,,,,
6702,Vale do Sol,android web,Paid,1/26/23,2/3/23,,,,,
6703,Vale do Sol,android web,Referral,1/28/23,1/28/23,,,,,
6704,Porto Seguro,ios web,Referral,1/13/23,1/13/23,1/13/23,1/14/23,Honda,Accord,2006.0
6705,Porto Seguro,android web,Paid,1/7/23,1/9/23,,,,,
6706,Porto Seguro,mac,Paid,1/27/23,,,,,,
6707,Vale do Sol,ios web,Referral,1/16/23,1/21/23,1/22/23,2/5/23,Toyota,Prius C,2015.0
6708,Porto Seguro,ios web,Organic,1/29/23,1/30/23,1/30/23,,Honda,Civic,2012.0
6709,Vila Rica,android web,Organic,1/30/23,2/1/23,,,,,
6710,Vila Rica,ios web,Referral,1/28/23,1/29/23,,,,,
6711,Vale do Sol,android web,Paid,1/14/23,1/14/23,,,,,
6712,Vale do Sol,ios web,Referral,1/3/23,,,,,,
6713,Porto Seguro,mac,Paid,1/1/23,1/2/23,1/10/23,,Chevrolet,Cruze,2014.0
6714,Vale do Sol,android web,Paid,1/22/23,,,,,,
6715,Porto Seguro,android web,Referral,1/23/23,,,,,,
6716,Vale do Sol,mac,Referral,1/5/23,1/6/23,1/6/23,1/13/23,Ford,F-150,2014.0
6717,Vila Rica,ios web,Organic,1/8/23,1/10/23,,,,,
6718,Vale do Sol,ios web,Paid,1/28/23,,,,,,
6719,Porto Seguro,android web,Paid,1/24/23,,,,,,
6720,Vale do Sol,android web,Organic,1/22/23,1/25/23,2/4/23,,BMW,3-series,2015.0
6721,Vila Rica,android web,Paid,1/15/23,1/15/23,1/16/23,1/16/23,Kia,Sportage,2012.0
6722,Vale do Sol,android web,Referral,1/20/23,,,,,,
6723,Vale do Sol,ios web,Organic,1/10/23,1/12/23,1/12/23,,Toyota,Prius V,2008.0
6724,Vale do Sol,windows,Paid,1/8/23,,,,,,
6725,Vale do Sol,android web,Paid,1/3/23,,,,,,
6726,Vila Rica,windows,Referral,1/14/23,1/17/23,,,,,
6727,Vila Rica,android web,Paid,1/2/23,,,,,,
6728,Vale do Sol,android web,Referral,1/28/23,,,,,,
6729,Porto Seguro,other,Paid,1/29/23,1/31/23,2/2/23,2/20/23,Chrysler,200,2013.0
6730,Vale do Sol,ios web,Referral,1/25/23,1/28/23,2/7/23,2/14/23,Chevrolet,Cruze,2014.0
6731,Vila Rica,ios web,Paid,1/3/23,1/3/23,,,,,
6732,Porto Seguro,windows,Referral,1/11/23,1/15/23,1/16/23,,Toyota,RAV4,2014.0
6733,Vale do Sol,android web,Organic,1/31/23,2/3/23,2/4/23,3/8/23,Honda,CR-V,2014.0
6734,Porto Seguro,android web,Referral,1/28/23,,,,,,
6735,Vila Rica,ios web,Referral,1/6/23,1/6/23,,,,,
6736,Vale do Sol,android web,Paid,1/15/23,1/15/23,1/18/23,,Chevrolet,Cavalier,2001.0
6737,Vale do Sol,ios web,Organic,1/4/23,1/5/23,,,,,
6738,Vila Rica,android web,Referral,1/5/23,1/7/23,1/8/23,1/11/23,Kia,Soul,2015.0
6739,Vale do Sol,ios web,Paid,1/22/23,1/22/23,1/24/23,1/24/23,Scion,iM,2016.0
6740,Vila Rica,android web,Paid,1/25/23,,,,,,
6741,Vale do Sol,ios web,Paid,1/9/23,,,,,,
6742,Vale do Sol,ios web,Referral,1/31/23,2/1/23,2/1/23,2/24/23,Toyota,Corolla,2016.0
6743,Porto Seguro,ios web,Organic,1/20/23,,,,,,
6744,Vale do Sol,ios web,Paid,1/28/23,,,,,,
6745,Vale do Sol,ios web,Paid,1/25/23,1/25/23,,,,,
6746,Porto Seguro,windows,Organic,1/8/23,1/10/23,,,,,
6747,Vale do Sol,ios web,Paid,1/7/23,,,,,,
6748,Vale do Sol,windows,Organic,1/24/23,1/29/23,,,,,
6749,Vale do Sol,ios web,Referral,1/5/23,,,,,,
6750,Vila Rica,ios web,Organic,1/10/23,1/11/23,1/11/23,,Jeep,Grand Cherokee,2014.0
6751,Porto Seguro,ios web,Referral,1/30/23,1/31/23,,,,,
6752,Vila Rica,ios web,Organic,1/24/23,,,,,,
6753,Vale do Sol,ios web,Referral,1/17/23,,,,,,
6754,Vale do Sol,android web,Organic,1/4/23,,,,,,
6755,Vale do Sol,ios web,Referral,1/22/23,1/25/23,,,,,
6756,Vale do Sol,ios web,Paid,1/27/23,,,,,,
6757,Vila Rica,windows,Organic,1/30/23,2/2/23,,,,,
6758,Porto Seguro,ios web,Paid,1/31/23,1/31/23,,,,,
6759,Vila Rica,other,Paid,1/15/23,,,,,,
6760,Porto Seguro,ios web,Organic,1/17/23,,,,,,
6761,Vale do Sol,ios web,Paid,1/14/23,,,,,,
6762,Porto Seguro,ios web,Paid,1/14/23,,,,,,
6763,Vale do Sol,android web,Paid,1/25/23,,,,,,
6764,Vila Rica,ios web,Paid,1/14/23,1/14/23,1/14/23,,Hyundai,Accent,2013.0
6765,Vale do Sol,android web,Paid,1/26/23,1/26/23,,,,,
6766,Porto Seguro,ios web,Paid,1/20/23,,,,,,
6767,Porto Seguro,android web,Referral,1/27/23,,,,,,
6768,Vila Rica,android web,Referral,1/12/23,1/15/23,,,,,
6769,Porto Seguro,mac,Paid,1/9/23,1/10/23,1/10/23,,Mazda,MAZDA3,2011.0
6770,Vale do Sol,other,Paid,1/9/23,1/11/23,,,,,
6771,Vila Rica,ios web,Paid,1/6/23,1/6/23,1/6/23,,Lexus,IS,2005.0
6772,Vale do Sol,mac,Paid,1/14/23,1/17/23,,,,,
6773,Porto Seguro,ios web,Paid,1/15/23,,,,,,
6774,Porto Seguro,android web,Referral,1/21/23,,,,,,
6775,Porto Seguro,ios web,Referral,1/13/23,1/16/23,,,,,
6776,Vale do Sol,mac,Paid,1/3/23,,,,,,
6777,Porto Seguro,ios web,Paid,1/26/23,1/28/23,,,,,
6778,Porto Seguro,ios web,Organic,1/2/23,1/5/23,,,,,
6779,Vale do Sol,ios web,Paid,1/9/23,1/11/23,,,,,
6780,Vale do Sol,ios web,Organic,1/10/23,,,,,,
6781,Vale do Sol,windows,Paid,1/25/23,1/25/23,1/29/23,,Ford,Focus,2010.0
6782,Vila Rica,ios web,Paid,1/14/23,1/15/23,1/15/23,,Honda,Accord,2015.0
6783,Vale do Sol,android web,Organic,1/6/23,,,,,,
6784,Porto Seguro,windows,Referral,1/9/23,1/10/23,,,,,
6785,Vila Rica,ios web,Organic,1/19/23,,,,,,
6786,Vale do Sol,windows,Paid,1/21/23,1/27/23,2/6/23,,Nissan,Sentra,2015.0
6787,Vale do Sol,android web,Referral,1/30/23,2/1/23,,,,,
6788,Porto Seguro,android web,Paid,1/2/23,1/2/23,,,,,
6789,Vila Rica,android web,Organic,1/17/23,1/20/23,,,,,
6790,Vila Rica,android web,Referral,1/28/23,,,,,,
6791,Vale do Sol,ios web,Organic,1/19/23,1/21/23,,,,,
6792,Porto Seguro,other,Paid,1/31/23,2/1/23,2/2/23,,Honda,Pilot,2006.0
6793,Vale do Sol,mac,Paid,1/13/23,1/13/23,1/21/23,,Kia,Forte,2016.0
6794,Vila Rica,ios web,Referral,1/29/23,1/31/23,,,,,
6795,Vale do Sol,ios web,Referral,1/31/23,1/31/23,,,,,
6796,Porto Seguro,other,Referral,1/16/23,1/18/23,1/18/23,1/18/23,Hyundai,Accent,2013.0
6797,Vila Rica,mac,Organic,1/9/23,1/9/23,,,,,
6798,Vila Rica,android web,Organic,1/6/23,1/6/23,1/9/23,,Toyota,Prius,2010.0
6799,Porto Seguro,android web,Referral,1/12/23,1/16/23,,,,,
6800,Porto Seguro,ios web,Referral,1/8/23,1/9/23,1/16/23,1/16/23,Chevrolet,Captiva,2013.0
6801,Vale do Sol,android web,Referral,1/25/23,,,,,,
6802,Porto Seguro,other,Organic,1/4/23,,,,,,
6803,Vila Rica,ios web,Paid,1/1/23,,,,,,
6804,Vale do Sol,ios web,Referral,1/24/23,1/24/23,1/25/23,2/1/23,Mercedes-Benz,GL-Class,2007.0
6805,Vale do Sol,android web,Paid,1/26/23,1/28/23,,,,,
6806,Vale do Sol,ios web,Paid,1/4/23,1/4/23,1/4/23,,Toyota,Prius,2011.0
6807,Vila Rica,other,Organic,1/18/23,1/19/23,1/25/23,1/28/23,Hyundai,Elantra,2016.0
6808,Vale do Sol,android web,Paid,1/17/23,1/17/23,,,,,
6809,Vale do Sol,android web,Paid,1/18/23,1/18/23,,,,,
6810,Porto Seguro,ios web,Paid,1/19/23,1/21/23,1/31/23,1/31/23,Toyota,Prius V,2010.0
6811,Vale do Sol,android web,Paid,1/25/23,1/26/23,1/27/23,,Honda,Civic,2012.0
6812,Vila Rica,android web,Paid,1/22/23,,,,,,
6813,Porto Seguro,android web,Organic,1/20/23,1/20/23,,,,,
6814,Vale do Sol,mac,Referral,1/3/23,,,,,,
6815,Porto Seguro,android web,Paid,1/25/23,1/29/23,1/29/23,1/29/23,Volkswagen,Jetta,2013.0
6816,Vila Rica,ios web,Referral,1/2/23,1/2/23,1/11/23,1/16/23,Lexus,ES,2014.0
6817,Vale do Sol,ios web,Paid,1/3/23,,,,,,
6818,Vale do Sol,mac,Referral,1/10/23,,,,,,
6819,Porto Seguro,ios web,Referral,1/22/23,1/22/23,1/23/23,1/26/23,Honda,Accord,2005.0
6820,Vila Rica,ios web,Paid,1/11/23,1/17/23,1/20/23,,Chevrolet,Cruze,2016.0
6821,Vale do Sol,ios web,Organic,1/10/23,1/10/23,,,,,
6822,Vila Rica,ios web,Organic,1/25/23,,,,,,
6823,Vale do Sol,other,Paid,1/14/23,1/15/23,,,,,
6824,Vale do Sol,ios web,Paid,1/29/23,,,,,,
6825,Vale do Sol,ios web,Organic,1/6/23,,,,,,
6826,Porto Seguro,android web,Referral,1/13/23,1/16/23,,,,,
6827,Vale do Sol,mac,Organic,1/20/23,,,,,,
6828,Vale do Sol,windows,Organic,1/24/23,,,,,,
6829,Vale do Sol,android web,Paid,1/23/23,,,,,,
6830,Porto Seguro,android web,Paid,1/8/23,1/9/23,,,,,
6831,Vale do Sol,ios web,Organic,1/15/23,1/15/23,1/17/23,1/19/23,Hyundai,Elantra,2016.0
6832,Vale do Sol,android web,Organic,1/11/23,1/11/23,,,,,
6833,Vale do Sol,ios web,Paid,1/8/23,,,,,,
6834,Porto Seguro,mac,Referral,1/14/23,1/17/23,1/22/23,1/22/23,Dodge,Charger,2015.0
6835,Vale do Sol,android web,Referral,1/11/23,1/13/23,,,,,
6836,Vale do Sol,windows,Organic,1/9/23,1/10/23,,,,,
6837,Vale do Sol,mac,Paid,1/18/23,1/19/23,,,,,
6838,Vale do Sol,other,Referral,1/17/23,1/17/23,,,,,
6839,Vila Rica,android web,Referral,1/14/23,,,,,,
6840,Vila Rica,windows,Referral,1/16/23,1/16/23,1/19/23,1/26/23,Nissan,Versa,2014.0
6841,Vale do Sol,windows,Paid,1/7/23,,,,,,
6842,Vila Rica,windows,Paid,1/25/23,1/25/23,1/26/23,,Honda,Civic,2015.0
6843,Vale do Sol,android web,Paid,1/28/23,1/30/23,1/31/23,,Lexus,GS Hybrid,2007.0
6844,Vale do Sol,windows,Referral,1/29/23,1/31/23,,,,,
6845,Vila Rica,ios web,Organic,1/31/23,2/2/23,,,,,
6846,Vila Rica,ios web,Paid,1/22/23,1/22/23,1/23/23,,Toyota,Prius V,2015.0
6847,Vila Rica,ios web,Paid,1/11/23,,,,,,
6848,Vila Rica,ios web,Paid,1/6/23,,,,,,
6849,Vale do Sol,windows,Referral,1/11/23,,,,,,
6850,Porto Seguro,windows,Referral,1/13/23,,,,,,
6851,Porto Seguro,ios web,Organic,1/7/23,1/7/23,1/7/23,,Honda,Civic,2015.0
6852,Vale do Sol,ios web,Organic,1/14/23,,,,,,
6853,Vale do Sol,windows,Paid,1/23/23,1/23/23,1/25/23,,Toyota,Prius,2010.0
6854,Vale do Sol,ios web,Referral,1/28/23,,,,,,
6855,Vale do Sol,mac,Referral,1/17/23,1/21/23,1/21/23,1/28/23,Toyota,Camry,2012.0
6856,Vale do Sol,ios web,Referral,1/28/23,1/30/23,,,,,
6857,Vale do Sol,ios web,Paid,1/4/23,,,,,,
6858,Vila Rica,android web,Paid,1/13/23,,,,,,
6859,Vale do Sol,android web,Paid,1/1/23,1/1/23,,,,,
6860,Vila Rica,ios web,Paid,1/2/23,1/6/23,,,,,
